Mapa,Cve_Ent,Nom_Ent,Cve_Mun,Nom_Mun,Cve_Loc,Nom_Loc,Ambito,Latitud,Longitud,Altitud,Cve_Carta
30010001,3,Baja California Sur,1,Comondu,1,Ciudad Constitucion,U,"25°02´04.688N""","111°40´24.022W""",49,G12C47
30010003,3,Baja California Sur,1,Comondu,3,Puerto Adolfo Lopez Mateos,R,"25°11´34.462N""","112°06´38.209W""",2,G12C46
30010008,3,Baja California Sur,1,Comondu,8,Agua Escondida,R,"26°04´57.967N""","112°02´01.748W""",124,G12A86
30010011,3,Baja California Sur,1,Comondu,11,El Aguajito Uno,R,"25°23´40.560N""","111°29´00.439W""",142,G12C38
30010018,3,Baja California Sur,1,Comondu,18,Alvarez Lote 5,R,"25°22´39.014N""","111°49´10.897W""",28,G12C37
30010020,3,Baja California Sur,1,Comondu,20,Andachires,R,"25°23´07.280N""","111°30´22.921W""",110,G12C38
30010027,3,Baja California Sur,1,Comondu,27,Puerto Magdalena,R,"24°38´04.026N""","112°08´23.545W""",3,G12C66
30010031,3,Baja California Sur,1,Comondu,31,Batequitos,R,"25°08´31.554N""","111°21´24.066W""",140,G12C48
30010035,3,Baja California Sur,1,Comondu,35,Benito Juarez,R,"25°06´58.412N""","111°49´33.418W""",33,G12C47
30010042,3,Baja California Sur,1,Comondu,42,Buenos Aires,R,"24°56´22.619N""","111°10´57.507W""",224,G12C59
30010044,3,Baja California Sur,1,Comondu,44,Cabo San Lazaro,R,"24°47´36.494N""","112°18´03.843W""",60,G12C56
30010045,3,Baja California Sur,1,Comondu,45,Cadeje,R,"26°22´40.459N""","112°30´44.503W""",75,G12A75
30010046,3,Baja California Sur,1,Comondu,46,La Calabaza,R,"25°25´42.341N""","111°29´20.212W""",129,G12C38
30010047,3,Baja California Sur,1,Comondu,47,Caleju,R,"26°19´22.959N""","111°58´01.049W""",198,G12A77
30010049,3,Baja California Sur,1,Comondu,49,Las Barrancas,R,"26°00´07.784N""","112°11´50.711W""",9,G12A86
30010050,3,Baja California Sur,1,Comondu,50,El Canelo,R,"25°37´39.240N""","111°49´00.243W""",37,G12C27
30010052,3,Baja California Sur,1,Comondu,52,El Cantil,R,"25°15´14.509N""","111°24´52.905W""",150,G12C38
30010055,3,Baja California Sur,1,Comondu,55,Carambuche,R,"26°12´57.510N""","112°01´14.427W""",127,G12A86
30010068,3,Baja California Sur,1,Comondu,68,Coahuila Lote 11,R,"24°54´32.798N""","111°35´36.792W""",50,G12C58
30010105,3,Baja California Sur,1,Comondu,105,La Escondida,R,"26°23´26.668N""","112°27´02.920W""",101,G12A75
